county,合計,男,女
新北市,41.51,52.71,30.76
臺北市,35.89,48.26,24.48
桃園市,39.75,51.45,27.89
臺中市,40.6,53.06,28.29
臺南市,41.35,48.19,34.39
高雄市,40.04,49.74,30.57
宜蘭縣,38.87,49.1,28.29
新竹縣,38.79,45.47,31.59
苗栗縣,39.83,48.74,30.23
彰化縣,41.86,49.94,33.2
南投縣,40.78,47.7,33.28
雲林縣,44.46,47.74,40.87
嘉義縣,42.9,51.12,33.69
屏東縣,45.9,53.28,37.9
臺東縣,49.44,57.78,40.09
花蓮縣,46.97,53.84,39.79
澎湖縣,41.61,50.56,32.08
基隆市,42.22,52.07,32.35
新竹市,38.33,50.97,26.45
嘉義市,36.52,47.14,26.47
